claim_id,claim_text,entity,product_variant,conditions,confidence,source_ids,locator,source_date,as_of_date,last_review,status,article_paths,uncertainty
CLM-000001,Elkem describes Tana quartzite extraction and industrial uses.,Elkem,Tana quartzite,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,ELKEM-QUARTZ-001,Plant description and industrial uses,Not stated,2026-09-16,2026-09-16,reviewed,01_raw_materials/quartz_and_feedstocks.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000002,Sibelco describes IOTA high-purity quartz for making fused-quartz crucibles and quartzware.,Sibelco,IOTA high-purity quartz,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,SIBELCO-QUARTZ-001,Semiconductor application bullet,Not stated,2026-09-16,2026-09-16,reviewed,01_raw_materials/quartz_and_feedstocks.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000003,WACKER describes a chlorosilane/distillation and Siemens deposition route for polysilicon.,WACKER,Polysilicon route in 2022 report,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,WACKER-POLY-001,Chlorosilane/distillation and deposition hall sections,2022 reporting year,2026-09-16,2026-09-16,reviewed,02_silicon_refining/electronic_grade_polysilicon.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000004,"Hemlock describes TCS-based CVD and controlled polysilicon sizing, cleaning and packaging.",Hemlock Semiconductor,Polysilicon,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,HSC-POLY-001,What We Do: The Science of Polysilicon,Not stated,2026-09-16,2026-09-16,reviewed,02_silicon_refining/electronic_grade_polysilicon.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000005,REC Silicon described silane-fed fluidized-bed granular deposition in a photovoltaic context in its 2023 report.,REC Silicon,Historical Moses Lake FBR description,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,REC-FBR-001,PDF page 9,2023 reporting year; published 2024,2026-09-16,2026-09-16,reviewed,02_silicon_refining/electronic_grade_polysilicon.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000006,PVA TePla describes CZ puller equipment and thermal and motion control functions.,PVA TePla,Czochralski systems,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,PVA-CZ-001,The Process; Czochralski systems,Not stated,2026-09-16,2026-09-16,reviewed,03_crystal_growth/crystal_growth.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000007,Siltronic describes float-zone silicon products and their lower-oxygen and high-resistivity application context.,Siltronic,FZ special products,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,SILTRONIC-FZ-001,Float zone/FZ subsection,Not stated,2026-09-16,2026-09-16,reviewed,03_crystal_growth/crystal_growth.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000008,"SUMCO describes wafer forming through slicing, lapping, etching, polishing, cleaning and inspection.",SUMCO,Silicon wafer production overview,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,SUMCO-WAFER-001,Wafer forming sequence,Not stated,2026-09-16,2026-09-16,reviewed,04_wafer_manufacturing/wafer_finishing_and_acceptance.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000009,IBM Research reported gate-all-around nanosheet research in December 2019.,IBM Research,2019 nanosheet research,"Scope is the cited company disclosure; no customer allocation, exclusivity, current operating capacity or Rubin qualification asserted.",CONFIRMED,IBM-NANOSHEET-001,Nanosheet architecture discussion,2019-12-20,2026-09-16,2026-09-16,reviewed,06_transistor_fundamentals/cmos_and_transistor_evolution.md,Company account; not independent verification of performance. Historical disclosures do not establish current operations.
CLM-000010,Siltronic shows wafer-production operations including edge rounding and wafer identification in its April 2026 investor presentation.,Siltronic,April 2026 wafer-production overview,A schematic company process disclosure; no customer-specific sequence or numerical production limit asserted.,CONFIRMED,SILTRONIC-WAFER-001,Slide 14: wafer production,2026-04-29,2026-09-16,2026-09-16,reviewed,04_wafer_manufacturing/wafer_finishing_and_acceptance.md,"Overview omits tool recipes, alternative routes and customer qualification."
