route_id,name,parent_route,scope,primary_article,status
ROUTE-WAFER,Raw materials to accepted wafer,,Representative quartz/carbon → chlorosilane/Siemens → CZ → polished accepted wafer route. Aggregate unit operations; no production setpoints.,01_raw_materials/quartz_and_feedstocks.md,reviewed
ROUTE-LOGIC,Logic die path,,High-level architecture only; detailed process conditions and evidence remain planned.,17_transistor_fabrication/README.md,planned
ROUTE-HBM,DRAM to HBM path,,High-level architecture only; detailed process conditions and evidence remain planned.,24_hbm_manufacturing/README.md,planned
ROUTE-PACKAGE,Logic and HBM package convergence,,High-level architecture only; detailed process conditions and evidence remain planned.,25_advanced_packaging/README.md,planned
ROUTE-SYSTEM,Package to rack integration,,High-level architecture only; detailed process conditions and evidence remain planned.,32_rack_scale_system/README.md,planned
ROUTE-FZ,Float-zone alternative,,"Growth-only comparison; qualified polysilicon feed-rod preparation is aggregated, not specified.",03_crystal_growth/crystal_growth.md,reviewed
ROUTE-OXIDE-TEACHING,Teaching oxide pattern-transfer route,,"Illustrative positive-tone oxide pattern transfer only; no actual dimensions, qualified chemistry or universal device sequence implied.",09_photolithography/lithography.md,reviewed
ROUTE-PLANAR-TEACHING,Planar device teaching route,,Alternative aggregate device route; one compatible option supplies the common MOL interface. Source/drain and isolation details remain variant-specific.,17_transistor_fabrication/planar_and_finfet.md,reviewed
ROUTE-FIN-TEACHING,Fin device teaching route,,Alternative aggregate device route; one compatible option supplies the common MOL interface. Source/drain and isolation details remain variant-specific.,17_transistor_fabrication/planar_and_finfet.md,reviewed
ROUTE-SHEETS-TEACHING,Sheets device teaching route,,Alternative aggregate device route; one compatible option supplies the common MOL interface. Source/drain and isolation details remain variant-specific.,17_transistor_fabrication/nanosheet_integration.md,reviewed
ROUTE-MOL-TEACHING,MOL teaching route,,Qualified compatible device terminals to conducting terminal-access structures; no specific architecture or plug metal prescribed.,17_transistor_fabrication/contacts_and_mol.md,reviewed
ROUTE-BEOL-TEACHING,Cu wiring integration teaching route,,Illustrative Cu dual-damascene module; via/trench mask order aggregated. Additional levels are explicitly aggregated in the finishing node. Not a qualified full logic flow.,19_back_end_of_line/beol_integration.md,reviewed
