record_id,record_type,field,source_id,locator,claim_id,evidence_role
MAT-0001,entity,description,USGS-SILICON-001,Opening commodity description,,supports scoped assertion
MAT-0002,entity,description,NTNU-SMELTING-001,Carbon sources and quartz in silicon production,,supports scoped assertion
MAT-0003,entity,description,WACKER-POLY-001,Starting silicon and chemical purification,,supports scoped assertion
MAT-0004,entity,description,WACKER-POLY-001,Chlorosilane and distillation discussion,,supports scoped assertion
MAT-0005,entity,description,WACKER-POLY-001,Chlorosilane/distillation and deposition,,supports scoped assertion
MAT-0006,entity,description,HSC-POLY-001,Science of Polysilicon; cleaning and packaging,,supports scoped assertion
MAT-0007,entity,description,SUMCO-WAFER-001,Monocrystalline pulling,,supports scoped assertion
MAT-0008,entity,description,SUMCO-WAFER-001,Wafer forming; slicing and lapping,,supports scoped assertion
MAT-0009,entity,description,SUMCO-WAFER-001,Polishing; cleaning and inspection,,supports scoped assertion
MAT-0010,entity,description,SUMCO-WAFER-001,Cleaning and inspection,,supports scoped assertion
PROC-0001,entity,description,NTNU-QUARTZ-001,High Temperature Quartz research description,,supports scoped assertion
PROC-0002,entity,description,NTNU-SMELTING-001,SiC role and furnace observations,,supports scoped assertion
PROC-0003,entity,description,WACKER-POLY-001,Chlorosilane synthesis description,,supports scoped assertion
PROC-0004,entity,description,WACKER-POLY-001,Distillation section,,supports scoped assertion
PROC-0005,entity,description,HSC-POLY-001,TCS CVD and product finishing,,supports scoped assertion
PROC-0006,entity,description,PVA-CZ-001,The Process,,supports scoped assertion
PROC-0007,entity,description,SUMCO-WAFER-001,Wafer forming,,supports scoped assertion
PROC-0008,entity,description,SUMCO-WAFER-001,Lapping; etching; polishing,,supports scoped assertion
PROC-0009,entity,description,SUMCO-WAFER-001,Cleaning and inspection,,supports scoped assertion
PROC-0001,entity,description,ELKEM-QUARTZ-001,Extraction and deposit description,CLM-000001,supports scoped assertion
PROC-0001,entity,description,CHEGINI-QUARTZ-001,Abstract: deposit-specific beneficiation only,,supports scoped assertion
PROC-0009,entity,description,SEMI-WAFER-001,Public scope §§2.2–2.3; no normative limits accessed,,supports scoped assertion
EDGE-0001,edge,relationship,ELKEM-QUARTZ-001,Tana extraction description; general feedstock input,CLM-000001,supports scoped assertion
EDGE-0002,edge,relationship,NTNU-SMELTING-001,Quartz and carbon inputs to silicon furnace; aggregate preparation boundary,,author route synthesis from specified furnace inputs
EDGE-0003,edge,relationship,NTNU-SMELTING-001,SiC role and furnace observations,,supports scoped assertion
EDGE-0004,edge,relationship,NTNU-SMELTING-001,SiC role and furnace observations,,supports scoped assertion
EDGE-0005,edge,relationship,NTNU-QUARTZ-001,High Temperature Quartz research description,,supports scoped assertion
EDGE-0006,edge,relationship,WACKER-POLY-001,Chlorosilane synthesis description,,supports scoped assertion
EDGE-0007,edge,relationship,WACKER-POLY-001,Chlorosilane synthesis description,,supports scoped assertion
EDGE-0008,edge,relationship,NTNU-SMELTING-001,SiC role and furnace observations,,supports scoped assertion
EDGE-0009,edge,relationship,WACKER-POLY-001,Distillation section,,supports scoped assertion
EDGE-0010,edge,relationship,WACKER-POLY-001,Distillation section,,supports scoped assertion
EDGE-0011,edge,relationship,WACKER-POLY-001,Chlorosilane synthesis description,,supports scoped assertion
EDGE-0012,edge,relationship,HSC-POLY-001,TCS CVD and product finishing,,supports scoped assertion
EDGE-0013,edge,relationship,HSC-POLY-001,TCS CVD and product finishing,,supports scoped assertion
EDGE-0014,edge,relationship,WACKER-POLY-001,Distillation section,,supports scoped assertion
EDGE-0015,edge,relationship,PVA-CZ-001,The Process,,supports scoped assertion
EDGE-0016,edge,relationship,PVA-CZ-001,The Process,,supports scoped assertion
EDGE-0017,edge,relationship,HSC-POLY-001,TCS CVD and product finishing,,supports scoped assertion
EDGE-0018,edge,relationship,SUMCO-WAFER-001,Wafer forming,,supports scoped assertion
EDGE-0019,edge,relationship,SUMCO-WAFER-001,Wafer forming,,supports scoped assertion
EDGE-0020,edge,relationship,PVA-CZ-001,The Process,,supports scoped assertion
EDGE-0021,edge,relationship,SUMCO-WAFER-001,Lapping; etching; polishing,,supports scoped assertion
EDGE-0022,edge,relationship,SUMCO-WAFER-001,Lapping; etching; polishing,,supports scoped assertion
EDGE-0023,edge,relationship,SUMCO-WAFER-001,Wafer forming,,supports scoped assertion
EDGE-0024,edge,relationship,SUMCO-WAFER-001,Cleaning and inspection,,supports scoped assertion
